nombre,dia_nacimiento,estado,pais,profesion,fase_luna
DORIS DAY,3-ABRIL,"CINCINNATI,OHIO",USA,ACTRIZ,LUNA NUEVA
DOUGLAS MACARTHUR,26-ENERO,ARKANSAS,USA,MILITAR,LUNA LLENA
DUDLEY MOORE,29-ABRIL,LONDRES,INGLATERRA,ACTOR,SEGUNDO MENGUANTE
DUSTIN HOFFMAN,8-AGOSTO,"LOS ANGELES,CA",USA,ACTOR,LUNA NUEVA
DWIGTH EINSEHOWER,14-OCTUBRE,"DENISON,TEXAS",USA,MILITAR,LUNA NUEVA
EDGAR ALLAN POE,19-ENERO,"BOSTON, MASS.",USA,ESCRITOR,PRIMER CRECIENTE
EDMOND HALLEY,8-NOVIEMBRE,HAGGERSTON,INGLATERRA,ASTRÓNOMO,CUARTO MENGUANTE
EDWARD LEAR,12-MAYO,LONDRES,INGLATERRA,ESCRITOR,PRIMER CRECIENTE
ELEANOR ROOSEVELT,11-OCTUBRE,NEW YORK,USA,HUMANISTA,CUARTO MENGUANTE
ELIJAH WOOD,28-ENERO,"CEDAR RAPIDS,IOWA",USA,ACTRIZ,CUARTO MENGUANTE
ELIZABETH TAYLOR,27-FEBRERO,LONDRES,INGLATERRA,ACTRIZ,CUARTO MENGUANTE
ELTON JOHN,25-MARZO,MIDDLESEX,INGLATERRA,MÚSICO,PRIMER CRECIENTE
ELVIS PRESLEY,8-ENERO,"TUPELO,MISS.",USA,CANTANTE,PRIMER CRECIENTE
EMANUEL LASKER,24-DICIEMBRE,BERLINCHEN,ALEMANIA,AJEDRECISTA,SEGUNDO CRECIENTE
EMILIANO ZAPATA,8-AGOSTO,MORELOS,MÉXICO,MILITAR,PRIMER MENGUANTE
EMILIO ZOLÁ,2-ABRIL,PARÍS,FRANCIA,ESCRITOR,LUNA NUEVA
EMINEM,17-OCTUBRE,"KANSAS,MI",USA,CANTANTE,SEGUNDO CRECIENTE
ENMANUEL KANT,24-ABRIL,KONIGSBERG,ALEMANIA,FILÓSOFO,LUNA NUEVA
ENRICO CARUSO,27-FEBRERO,NÁPOLES,ITALIA,CANTANTE,LUNA NUEVA
ENRICO FERMI,29-SEPTIEMBRE,ROMA,ITALIA,CIENTÍFICO,LUNA LLENA
ENRIQUE VIII,28-JUNIO,GREENWICH,INGLATERRA,REY,SEGUNDO CRECIENTE
"ERNESTO ""CHE"" GUEVARA",14-JUNIO,ROSARIO,ARGENTINA,MILITAR,SEGUNDO MENGUANTE
ERNESTO HEMINGWAY,21-JULIO,"OAK PARK,ILLINOIS",USA,ESCRITOR,SEGUNDO CRECIENTE
ERNESTO SABATO,24-JUNIO,ROJAS,ARGENTINA,ESCRITOR,LUNA NUEVA
EROS RAMAZZOTTI,28-OCTUBRE,ROMA,ITALIA,CANTANTE,SEGUNDO CRECIENTE
EUGEN KARL DUHRING,2-ENERO,BERLÍN,ALEMANIA,FILÓSOFO,SEGUNDO CRECIENTE
EUGENIO MARÍA HOSTOS,11-ENERO,MAYAGÜEZ,PUERTO RICO,ESCRITOR,SEGUNDO MENGUANTE
EVA BRAUN,6-FEBRERO,MUNICH,ALEMANIA,POLÍTICA,PRIMER MENGUANTE
EVA PERÓN,7-MAYO,LOS TOLDOS,ARGENTINA,POLÍTICA,CUARTO CRECIENTE
EZRA POUND,30-OCTUBRE,"HAILEY,IDAHO",USA,ESCRITOR,CUARTO MENGUANTE
FEDERICO BESSEL,22-JULIO,MINDEN,ALEMANIA,CIENTÍFICO,PRIMER CRECIENTE
FEDERICO CHOPIN,22-FEBRERO,ZELASOWA-WOLA,POLONIA,MÚSICO,PRIMER MENGUANTE
FEDERICO ENGELS,28-NOVIEMBRE,BARMEN,ALEMANIA,FILÓSOFO,CUARTO MENGUANTE
FEDERICO GARCÍA LORCA,5-JUNIO,GRANADA,ESPAÑA,ESCRITOR,LUNA LLENA
FEDERICO NIESZTCHE,15-OCTUBRE,ROCKEN,PRUSIA,FILÓSOFO,PRIMER CRECIENTE
