nombre,dia_nacimiento,estado,pais,profesion,fase_luna
PLÁCIDO DOMINGO,21-ENERO,MADRID,ESPAÑA,CANTANTE,SEGUNDO MENGUANTE
PRINCESA DIANA,1-JULIO,NORFOLK,INGLATERRA,PRINCESA,PRIMER MENGUANTE
QUINO,17-JULIO,MENDOZA,ARGENTINA,CARICATURISTA,LUNA LLENA
RABINDRANATH TAGORE,7-MAYO,CALCUTA,INDIA,ESCRITOR,SEGUNDO MENGUANTE
RAFAEL ALBERTI,16-DICIEMBRE,SANTA MARÍA,ESPAÑA,ESCRITOR,LUNA LLENA
RAFAEL SANZIO,6-ABRIL,URBINO,ITALIA,PINTOR,PRIMER MENGUANTE
RAMÓN DEL VALLE-INCLÁN,28-OCTUBRE,SANTIAGO DE COMPOSTELA,ESPAÑA,ESCRITOR,PRIMER MENGUANTE
REESE WITHERSPOON,22-MARZO,"NASHVILLE,TENNESSEE",USA,ACTRIZ,CUARTO MENGUANTE
REINA VICTORIA DE INGLATERRA,24-MAYO,LONDRES,INGLATERRA,ESTADISTA,LUNA NUEVA
RENÉ DESCARTES,31-MARZO,TURAINE,FRANCIA,FILÓSOFO,PRIMER CRECIENTE
RENEE ZELLWEGER,25-ABRIL,"KATY,TEXAS",USA,ACTRIZ,CUARTO CRECIENTE
RICARDO LAGOS,2-MARZO,SANTIAGO,CHILE,POLÍTICO,PRIMER CRECIENTE
RICARDO PALMA,7-FEBRERO,LIMA,PERÚ,ESCRITOR,LUNA LLENA
RICHARD GERE,31-AGOSTO,"PHILADELPHIA,PENN",USA,ACTOR,CUARTO CRECIENTE
RICHARD NIXON,9-ENERO,"YORBA LINDA,CA",USA,POLÍTICO,PRIMER CRECIENTE
RICHARD WAGNER,22-MAYO,LEIPZIG,ALEMANIA,MÚSICO,CUARTO MENGUANTE
RICKY MARTIN,24-DICIEMBRE,HATO REY,PUERTO RICO,CANTANTE,CUARTO CRECIENTE
RIGOBERTA MENCHÚ,9-ENERO,CHIMEL,GUATEMALA,PACIFISTA,LUNA NUEVA
RINGO STARR,7-JULIO,LIVERPOOL,INGLATERRA,MÚSICO,PRIMER CRECIENTE
ROBERT DENIRO,17-AGOSTO,NEW YORK,USA,ACTOR,LUNA LLENA
ROBERT FROST,26-MARZO,"SAN FRANCISCO, CA",USA,ESCRITOR,CUARTO CRECIENTE
ROBERT KENNEDY,20-NOVIEMBRE,"BOOKLINE ,MSS",USA,POLÍTICO,PRIMER CRECIENTE
ROBERT MCNAMARA,9-JUNIO,"SAN FRANCISCO,CA",USA,MILITAR,CUARTO CRECIENTE
ROBERT OWEN,14-MAYO,NEWTOWN,GALES,FILÓSOFO,LUNA NUEVA
ROBERT REDFORD,18-AGOSTO,"SANTA MÓNICA,CA",USA,ACTOR,SEGUNDO CRECIENTE
ROBERT STEVENSON,13-NOVIEMBRE,EDINBURGH,ESCOCIA,ESCRITOR,CUARTO CRECIENTE
ROBERTO CARLOS BRAGA,19-ABRIL,CAHOEIRO DE ITAPEMERIM,BRASIL,MÚSICO,CUARTO MENGUANTE
ROBIN COOK,4-MAYO,"NEW YORK, N. Y.",USA,ESCRITOR,LUNA NUEVA
ROBIN WILLIANS,21-JULIO,"CHICAGO,ILLINOIS",USA,ACTOR,LUNA NUEVA
ROCÍO DURCAL,4-OCTUBRE,MADRID,ESPAÑA,CANTANTE,PRIMER MENGUANTE
ROCÍO JURADO,18-SEPTIEMBRE,"CHIPIONA,CÁDIZ",ESPAÑA,CANTANTE,PRIMER CRECIENTE
RODOLFO DIESEL,18-MARZO,PARIS,FRANCIA,CIENTÍFICO,PRIMER CRECIENTE
ROMAN POLANSKI,18-AGOSTO,PARÍS,FRANCIA,CINEASTA,SEGUNDO MENGUANTE
RÓMULO GALLEGOS,2-AGOSTO,CARACAS,VENEZUELA,ESCRITOR,SEGUNDO CRECIENTE
RONALD REAGAN,6-FEBRERO,TAMPICO,ILLINOIS,POLÍTICO,CUARTO CRECIENTE
RONALDINHO,21-MARZO,PORTO ALEGRE,BRASIL,FUTBOLISTA,CUARTO CRECIENTE
RONALDO,22-SEPTIEMBRE,BEMTO RIVEIRO,BRASIL,FUTBOLISTA,LUNA NUEVA
RUBÉN DARÍO,18-ENERO,METAPA,NICARAGUA,ESCRITOR,SEGUNDO CRECIENTE
SADDAN HUSSEIN,28-ABRIL,TIKRIT,IRAK,DICTADOR,LUNA LLENA
SALARRUE,22-OCTUBRE,SONSONATE,EL SALVADOR,ESCRITOR,LUNA LLENA
SALLY FIELD,6-NOVIEMBRE,"PASADENA, CA",USA,ACTRIZ,SEGUNDO CRECIENTE
SALVADOR ALLENDE,26-JULIO,VALPARAISO,CHILE,POLÍTICO,LUNA NUEVA
SALVADOR DALI,11-MAYO,FIGUERA,ESPAÑA,PINTOR,LUNA NUEVA
SAMUEL MORSE,27-ABRIL,"CHARLESTOWN,MASS",USA,INVENTOR,CUARTO MENGUANTE
SANDRA BULLOCK,26-JULIO,ARLINGTON,USA,ACTRIZ,PRIMER MENGUANTE
SELENA,16-ABRIL,"LAKE JACKSON,TX",USA,CANTANTE,CUARTO MENGUANTE
SERENA WILLIAMS,26-SEPTIEMBRE,"SAGINAW,MICHIGAN",USA,TENISTA,LUNA NUEVA
SHAKIRA,9-FEBRERO,BARRANQUILLA,COLOMBIA,CANTANTE,CUARTO MENGUANTE
SHARON STONE,10-MARZO,"MEADVILLE,PENN",USA,ACTRIZ,CUARTO MENGUANTE
SHARON TATE,24-ENERO,"DALLAS,TEXAS",USA,ACTRIZ,PRIMER MENGUANTE
SHIMON PERES,21-AGOSTO,VINSHEVA,POLONIA,POLÍTICO,SEGUNDO CRECIENTE
SHIRLEY MACLAINE,24-ABRIL,"RICHMOND, VI",USA,ACTRIZ,SEGUNDO CRECIENTE
SIGMUND FREUD,6-MAYO,FREIBERG,CHECOSLOVAQUIA,CIENTÍFICO,PRIMER CRECIENTE
SILVIO BERLUSCONI,29-SEPTIEMBRE,MILÁN,ITALIA,POLÍTICO,LUNA LLENA
SIMÓN BOLIVAR,24-JULIO,CARACAS,VENEZUELA,MILITAR,SEGUNDO MENGUANTE
SLOBODAN MILOSEVIC,20-AGOSTO,POZAREVAC,SERVIA,DICTADOR,LUNA NUEVA
SOFÍA COPPOLA,14-MAYO,"NEW YORK,NY",USA,CINEASTA,PRIMER MENGUANTE
SOFÍA LOREN,20-SEPTIEMBRE,ROMA,ITALIA,ACTRIZ,SEGUNDO CRECIENTE
SONIA BRAGA,8-JUNIO,MARINGA,BRASIL,ACTRIZ,CUARTO MENGUANTE
SOREN KIERKEGAARD,5-MAYO,COPENHAGUE,DINAMARCA,FILÓSOFO,PRIMER CRECIENTE
STELLA MACARNEY,13-SEPTIEMBRE,LONDRES,INGLATERRA,MODISTA,SEGUNDO MENGUANTE
STEVE JOBS,24-FEBRERO,"LOS ALTOS, CA",USA,FINANCIERO,PRIMER CRECIENTE
STEVEN SPIELBERG,18-DICIEMBRE,"CINCINNATI,OHIO",USA,CINEASTA,CUARTO CRECIENTE
STEVIE WONDER,13-MAYO,"SAGINAW, MICHIGAN",USA,MÚSICO,SEGUNDO MENGUANTE
SUSAN SARANDON,4-OCTUBRE,NEW YORK,USA,ACTRIZ,CUARTO CRECIENTE
TED KACZYNSKY,22-MAYO,"EVERGREEN PARK, ILLINOIS",USA,TERRORISTA,CUARTO CRECIENTE
THALÍA,26-AGOSTO,CIUDAD MÉXICO,MÉXICO,CANTANTE,LUNA LLENA
THEODORE ROOSEVELT,27-OCTUBRE,NEW YORK,USA,POLÍTICO,PRIMER MENGUANTE
THOMAS EDISON,11-FEBRERO,"MILAN,OHIO",USA,CIENTÍFICO,SEGUNDO MENGUANTE
THOMAS HOBBES,5-ABRIL,WESTPORT,INGLATERRA,FILÓSOFO,CUARTO CRECIENTE
THOMAS JEFFERSON,23-ABRIL,"SHADWELL,VI",USA,POLÍTICO,LUNA NUEVA
THOMAS MANN,6-JUNIO,LÜBECK,ALEMANIA,ESCRITOR,PRIMER CRECIENTE
THOMAS MORO,7-FEBRERO,LONDRES,INGLATERRA,TEÓLOGO,CUARTO MENGUANTE
THOMAS PAINE,29-ENERO,THETFORD,INGLATERRA,ESCRITOR,SEGUNDO MENGUANTE
THOMAS R. MALTHUS,13-FEBRERO,LONDRES,INGLATERRA,ECONOMISTA,PRIMER CRECIENTE
TIGER WOODS,30-DICIEMBRE,"CYPRESS, CA",USA,GOLFISTA,SEGUNDO MENGUANTE
TIM BERNERS-LEE,8-JUNIO,LONDRES,INGLATERRA,INVENTOR,PRIMER MENGUANTE
TOM CRUISE,3-JULIO,"SYRACUSE,NY",USA,ACTOR,PRIMER CRECIENTE
TOM HANKS,9-JULIO,"CONCORD,CA",USA,ACTOR,PRIMER CRECIENTE
TOM JONES,7-JUNIO,PONTYPRIDD,GALES,CANTANTE,PRIMER CRECIENTE
TONY BLAIR,6-MAYO,EDINGURGH,ESCOCIA,POLÍTICO,CUARTO MENGUANTE
TONY CURTIS,3-JUNIO,"BRONX,N.Y",USA,ACTOR,SEGUNDO CRECIENTE
TRUMAN CAPOTE,30-SEPTIEMBRE,"NEW ORLEANS,LOUISIANA",USA,ESCRITOR,PRIMER CRECIENTE
UMBERTO ECO,5-ENERO,"ALESSANDRIA,TURIN",ITALIA,ESCRITOR,PRIMER MENGUANTE
UPTON SINCLAIR,20-SEPTIEMBRE,"BALTIMORE,MARYLAND",USA,ESCRITOR,CUARTO MENGUANTE
VALENTINA TERESHKOVA,6-MARZO,MASLENNIKOVO,RUSIA,ASTRONAUTA,SEGUNDO MENGUANTE
VENUS WILLIAMS,17-JUNIO,"LYNWOOD,CA",USA,TENISTA,PRIMER CRECIENTE
VICENTE FOX,2-JULIO,CIUDAD MÉXICO,MÉXICO,POLÍTICO,PRIMER MENGUANTE
VICENTE VAN GOGH,30-MARZO,GROOT ZUNDERT,HOLANDA,PINTOR,PRIMER MENGUANTE
VICTOR HUGO,26-FEBRERO,BESANCON,FRANCIA,ESCRITOR,CUARTO MENGUANTE
VINCE GUARALDI,17-JULIO,"SAN FRANCISCO,CA",USA,MÚSICO,LUNA NUEVA
VINICIUS DE MORAES,19-OCTUBRE,RÍO DE JANEIRO,BRASIL,MÚSICO,PRIMER MENGUANTE
VIOLETA PARRA,4-OCTUBRE,"ÑUBLE,SAN CARLOS",CHILE,MÚSICA,PRIMER MENGUANTE
VIRGINIA WOOLF,25-ENERO,LONDRES,INGLATERRA,ESCRITORA,CUARTO CRECIENTE
VLADIMIR I LENIN,10-ABRIL,VOLGA,RUSIA,POLÍTICO,CUARTO CRECIENTE
VLADIMIR PUTIN,7-OCTUBRE,SAN PETERBURGO,RUSIA,POLÍTICO,PRIMER MENGUANTE
VOLTAIRE,21-NOVIEMBRE,PARÍS,FRANCIA,FILÓSOFO,PRIMER CRECIENTE
WALTER SCOTT,15-AGOSTO,EDINBURGH,ESCOCIA,ESCRITOR,PRIMER CRECIENTE
WANGARI MAATHAI,1-ABRIL,NYERI,KENIA,ECOLOGISTA,SEGUNDO MENGUANTE
WARREN BEATTY,30-MARZO,"RICHMONT,VI",USA,ACTOR,PRIMER MENGUANTE
WILLIAM SHAKESPEARE,23-ABRIL,STRATFORD,INGLATERRA,ESCRITOR,LUNA NUEVA
WILLIAM WALKER,8-MAYO,TENNESSEE,USA,FILIBUSTERO,SEGUNDO CRECIENTE
WILLIANS BURROUGHS,5-FEBRERO,SAN LUIS MISSOURI,USA,ESCRITOR,SEGUNDO CRECIENTE
WINSTON CHURCHILL,30-NOVIEMBRE,OXFORDSHIRE,INGLATERRA,POLÍTICO,CUARTO MENGUANTE
WOLFGANG AMADEUS MOZART,27-ENERO,SALSBURG,AUSTRIA,MÚSICO,SEGUNDO MENGUANTE
WOODY ALLEN,1-DICIEMBRE,NEW YORK,USA,ACTOR,CUARTO CRECIENTE
WOODY GUTHRIE,14-JULIO,OKEMAH OK,USA,MÚSICO,LUNA NUEVA
XUXA,27-MARZO,SANTA ROSA,BRASIL,ACTRIZ,PRIMER CRECIENTE
YASER ARAFAT,24-AGOSTO,CAIRO,EGIPTO,POLÍTICO,PRIMER MENGUANTE
YOKO ONO,18-FEBRERO,TOKYO,JAPÓN,ACTRIZ,CUARTO MENGUANTE
YURI GAGARIN,9-MARZO,KLUSHINO,RUSIA,ASTRONAUTA,SEGUNDO MENGUANTE
ZINEDINE ZIDANE,23-JUNIO,MARSEILLE,FRANCIA,FUTBOLISTA,SEGUNDO CRECIENTE
ZSA ZSA GABOR,6-FEBRERO,BUDAPEST,HUNGRÍA,ACTRIZ,SEGUNDO MENGUANTE
